account_id,age,gender,amount,duration,payments,status,popul,average_salary,unemployment_96 / 100,entrepreneur_per_1000,crimes_96 / popul,card_type,month_outcome,month_income
2,48,m,80952,24,3373.00,A,1204953,12541,0.004300,167,0.0822,no,12751.466667,19057.108333
19,57,f,30276,12,2523.00,B,103347,9104,0.020700,123,0.0228,no,5077.353846,6209.723077
25,35,m,30276,12,2523.00,A,228848,9893,0.047200,96,0.0257,no,15435.396610,17104.293220
37,46,m,318480,60,5308.00,D,70646,8547,0.036400,120,0.0218,no,5642.565217,6483.476812
38,58,f,110736,48,2307.00,C,51428,8402,0.039800,120,0.0214,no,1668.111111,2355.614286
67,51,f,165960,24,6915.00,A,93931,8427,0.015400,107,0.0204,no,18763.410000,20331.045000
97,55,m,102876,12,8573.00,A,323870,10673,0.054400,100,0.0566,classic,4827.992727,5564.652727
103,30,m,265320,36,7370.00,D,105606,8254,0.037600,97,0.0220,no,4178.564407,6242.486441
105,47,f,352704,48,7348.00,C,103347,9104,0.020700,123,0.0228,classic,3115.523944,3597.135211
110,44,m,162576,36,4516.00,C,159617,9198,0.042800,131,0.0384,classic,4934.739286,5926.521429
132,51,f,88440,12,7370.00,A,128118,9317,0.070700,97,0.0536,classic,3813.043478,5861.756522
173,54,m,104808,12,8734.00,A,125832,8512,0.041200,102,0.0167,no,5351.912500,7102.875000
176,29,m,27456,12,2288.00,A,161227,8678,0.055700,102,0.0285,no,7613.039216,9032.392157
226,53,f,109344,12,9112.00,C,285387,10177,0.077500,81,0.0354,classic,4780.290909,5790.250000
276,27,m,160920,36,4470.00,C,85852,8965,0.082300,104,0.0329,classic,4046.490141,4960.828169
290,54,m,123696,48,2577.00,A,124605,8772,0.049800,126,0.0253,no,9552.254545,12984.854545
303,42,f,112752,36,3132.00,C,161227,8678,0.055700,102,0.0285,classic,5246.909375,6011.234375
309,25,f,91248,48,1901.00,C,177686,10045,0.017100,135,0.0354,no,5493.491429,5705.874286
314,57,f,66840,24,2785.00,C,58796,9045,0.036000,124,0.0320,no,9703.865385,11554.663462
319,23,f,369000,60,6150.00,C,162580,9538,0.018100,111,0.0333,no,8504.222222,10138.475926
330,25,f,331584,48,6908.00,C,95907,8388,0.029400,87,0.0174,no,6676.348485,7517.180303
339,50,f,468060,60,7801.00,C,112709,8369,0.023100,117,0.0232,classic,10503.644068,13960.059322
344,29,m,100980,60,1683.00,C,387570,9897,0.019600,140,0.0482,no,6981.208696,9030.678261
347,47,m,187224,24,7801.00,B,1204953,12541,0.004300,167,0.0822,no,12909.835714,17933.700000
349,61,m,42816,12,3568.00,C,226122,8994,0.047900,110,0.0407,no,1866.185294,2141.133824
378,36,m,230400,60,3840.00,C,228848,9893,0.047200,96,0.0257,no,17390.515789,18988.187719
426,28,f,252060,60,4201.00,D,110643,8441,0.044800,115,0.0204,no,14177.111111,21645.250000
440,40,f,84288,48,1756.00,C,45714,8843,0.036000,113,0.0194,no,3754.774194,4392.295161
442,56,f,357840,48,7455.00,D,387570,9897,0.019600,140,0.0482,no,NULL,187.037037
472,36,f,196800,24,8200.00,D,112065,11277,0.014400,127,0.0445,no,5547.345098,6295.701961
501,30,f,262980,60,4383.00,C,53921,8598,0.032600,123,0.0348,no,3703.244444,5393.942222
525,41,f,210384,48,4383.00,C,285387,10177,0.077500,81,0.0354,no,3844.659259,4705.372222
544,53,m,91152,24,3798.00,A,105058,9272,0.032200,118,0.0429,classic,7266.186047,8921.574419
666,57,f,12540,12,1045.00,A,67298,8561,0.012900,110,0.0167,classic,5037.137931,5977.865517
675,51,f,102240,60,1704.00,C,109164,8757,0.039500,96,0.0226,classic,4286.737255,4968.470588
718,40,f,76944,12,6412.00,A,1204953,12541,0.004300,167,0.0822,classic,6701.872727,8861.463636
785,45,m,156096,36,4336.00,C,103347,9104,0.020700,123,0.0228,no,2074.590164,2810.719672
789,24,m,73056,48,1522.00,C,119895,10446,0.094000,90,0.0396,no,1517.147059,2150.844118
790,42,m,208128,48,4336.00,B,387570,9897,0.019600,140,0.0482,classic,13356.488889,19049.244444
808,39,m,215616,48,4492.00,D,42821,8173,0.070100,124,0.0317,no,4013.502564,4235.058974
813,38,f,24312,12,2026.00,A,93931,8427,0.015400,107,0.0204,no,6216.287500,12953.775000
816,33,m,48624,24,2026.00,A,128118,9317,0.070700,97,0.0536,no,27593.466667,30690.541667
817,34,m,538500,60,8975.00,C,95616,9307,0.044300,118,0.0318,no,9394.504000,10325.344000
825,48,m,53076,12,4423.00,A,51428,8402,0.039800,120,0.0214,classic,3723.106122,4153.020408
846,19,f,187104,24,7796.00,A,226122,8994,0.047900,110,0.0407,classic,4805.457143,6873.976190
854,41,f,87216,48,1817.00,C,1204953,12541,0.004300,167,0.0822,no,7346.214286,8303.189286
873,26,f,178500,60,2975.00,C,182027,8746,0.037400,90,0.0244,no,1264.196721,1582.190164
915,60,m,309552,48,6449.00,C,226122,8994,0.047900,110,0.0407,no,8722.118750,10340.853125
938,57,f,22260,60,371.00,C,285387,10177,0.077500,81,0.0354,no,137.500000,626.212500
940,37,f,284280,60,4738.00,C,114006,9065,0.053900,123,0.0365,gold,15234.745000,18561.555000
960,36,f,189060,60,3151.00,C,149893,9753,0.050500,109,0.0393,classic,7968.571429,10784.803571
993,31,f,108720,60,1812.00,C,77963,8546,0.040200,126,0.0400,classic,4013.227273,5138.478788
1004,22,f,188532,36,5237.00,C,285387,10177,0.077500,81,0.0354,no,17275.136508,18371.436508
1011,51,m,204000,60,3400.00,C,77917,8390,0.028900,132,0.0272,no,5842.348571,7694.600000
1012,49,f,98184,24,4091.00,A,114200,8403,0.057200,105,0.0238,no,1461.904762,4745.533333
1068,61,m,253200,60,4220.00,C,139012,8363,0.034900,108,0.0201,no,5171.094118,6187.070588
1071,43,f,253200,60,4220.00,C,139012,8363,0.034900,108,0.0201,no,13645.833333,23731.558333
1083,18,m,50976,36,1416.00,C,77917,8390,0.028900,132,0.0272,no,3385.288889,3723.592063
1093,40,f,385104,48,8023.00,C,387570,9897,0.019600,140,0.0482,no,14184.305660,16869.658491
1106,30,f,192552,24,8023.00,B,70646,8547,0.036400,120,0.0218,no,5317.272727,7198.200000
1166,25,f,149040,48,3105.00,A,75637,9622,0.005900,154,0.0467,no,12573.692308,14610.123077
1242,45,f,128544,24,5356.00,C,323870,10673,0.054400,100,0.0566,no,3905.714286,4460.751786
1244,51,m,35904,48,748.00,C,228848,9893,0.047200,96,0.0257,no,1022.355102,1382.810204
1247,23,f,99696,48,2077.00,D,114200,8403,0.057200,105,0.0238,no,18452.907692,24968.830769
1250,54,f,182640,48,3805.00,C,145688,8544,0.018600,109,0.0199,no,3752.234783,4271.765217
1252,35,f,148140,36,4115.00,C,53921,8598,0.032600,123,0.0348,no,9070.196078,10523.123529
1256,48,f,71064,36,1974.00,A,85852,8965,0.082300,104,0.0329,no,6958.885714,8080.203571
1270,36,m,74772,36,2077.00,C,157042,8743,0.024300,111,0.0248,no,2707.333333,3528.379630
